P_NAME,P_STATUS,P_YEAR,P_UPDATED,P_PERIOD,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ANGULAR_DISTANCE,P_DETECTION,S_RA,S_DEC,S_DISTANCE,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_FLUX,P_TYPE,S_TYPE_TEMP,S_DEC_T,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,S_CONSTELLATION,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,KM_Clusters
1491.0,3.0,2016.0,66.0,81.315106,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,294.56938,45.671257,897.0,0.94,-0.06,0.06,0.91,-0.07,0.13,175.0,5614.0,4.5,0.0,5.69458,4.0,3.0,1486.0,0.44634647,0.0,0.0,1.0,30.0,75.0,2.4662,6.6476898,0
1499.0,3.0,2016.0,66.0,37.646738,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,291.64624,39.396624,797.0,1.05,-0.07,0.07,1.06,-0.11,0.21,175.0,5893.0,4.41,0.0,24.329377,4.0,3.0,636.0,0.45420496,0.0,0.0,1.0,51.0,49.0,2.18595,5.4165988,0
1516.0,3.0,2016.0,66.0,42.191736,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,288.28053,46.340904,924.0,0.92,-0.05,0.04,0.89,-0.06,0.11,175.0,5544.0,4.51,0.0,12.604163,4.0,3.0,1583.0,0.44998195,0.0,0.0,1.0,51.0,49.0,2.04022,4.8178725,0
1518.0,3.0,2016.0,66.0,2.852349,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,286.59427,37.891266,177.0,0.35,-0.02,0.02,0.34,-0.02,0.02,175.0,3658.0,4.93,0.0,24.111263,5.0,5.0,477.0,0.30899216,0.0,0.0,1.0,51.0,49.0,1.27794,2.1773119,0
1520.0,3.0,2016.0,66.0,108.59333,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,285.69199,45.689396,668.0,0.92,-0.06,0.05,0.93,-0.07,0.11,175.0,5798.0,4.46,0.0,4.6675124,4.0,3.0,1487.0,0.46225459,0.0,0.0,1.0,51.0,49.0,1.72634,3.6281006,0
1526.0,3.0,2014.0,82.0,8.92507,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,287.99788,50.944332,264.35,0.75,-0.06,0.06,0.69,-0.02,0.02,175.0,4725.0,4.64,0.0,36.34003,4.0,4.0,2139.0,0.44834789,0.0,0.0,1.0,30.0,75.0,2.17474,8.6989524,0
1529.0,3.0,2016.0,66.0,62.891623,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,286.36746,48.423935,940.0,0.87,-0.05,0.04,0.83,-0.05,0.06,175.0,5298.0,4.55,0.0,5.572759,4.0,4.0,1890.0,0.43993038,0.0,0.0,1.0,33.0,24.0,2.3541,6.1428456,0
1532.0,3.0,2016.0,66.0,76.957857,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,286.00297,44.756592,728.0,0.96,-0.05,0.04,0.94,-0.07,0.17,175.0,5656.0,4.47,0.0,6.6432107,4.0,3.0,1361.0,0.45293217,0.0,0.0,1.0,51.0,49.0,1.84965,4.0789714,0
1554.0,3.0,2016.0,66.0,65.647842,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,292.24779,47.878452,763.0,0.88,-0.06,0.05,0.85,-0.06,0.08,175.0,5470.0,4.53,0.0,6.2245448,4.0,3.0,1810.0,0.43832809,0.0,0.0,1.0,30.0,75.0,2.21958,5.5588379,0
1559.0,3.0,2016.0,66.0,33.469743,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,288.82059,39.522827,987.0,1.03,-0.06,0.07,1.03,-0.1,0.22,175.0,5842.0,4.43,0.0,26.28828,4.0,3.0,645.0,0.44970502,0.0,0.0,1.0,51.0,49.0,2.02901,4.773015,0
1567.0,3.0,2016.0,66.0,10.712525,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,299.0771,45.44064,428.0,0.59,-0.04,0.03,0.57,-0.03,0.03,175.0,4253.0,4.7,0.0,14.975349,4.0,4.0,1465.0,0.36774106,0.0,0.0,1.0,30.0,75.0,2.1299,5.1829123,0
1568.0,3.0,2016.0,66.0,32.563707,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,283.29213,45.434116,989.0,0.89,-0.04,0.04,0.84,-0.05,0.07,175.0,5390.0,4.54,0.0,14.485873,4.0,3.0,1461.0,0.43998217,0.0,0.0,1.0,51.0,49.0,2.20837,5.5112567,0
1572.0,3.0,2016.0,66.0,33.240688,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,290.34852,50.902855,648.0,0.9,-0.05,0.04,0.86,-0.06,0.1,175.0,5446.0,4.53,0.0,15.282296,4.0,3.0,2135.0,0.45013041,0.0,0.0,1.0,30.0,75.0,1.69271,3.5089223,0
1574.0,3.0,2016.0,66.0,55.822654,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,287.29769,47.455437,911.0,0.87,-0.04,0.04,0.82,-0.04,0.04,175.0,5157.0,4.56,0.0,5.7243422,4.0,4.0,1755.0,0.43497994,0.0,0.0,1.0,51.0,49.0,2.49983,6.8023267,0
1585.0,3.0,2016.0,66.0,106.24755,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,286.67144,49.406288,829.0,0.98,-0.04,0.03,0.97,-0.05,0.07,175.0,5712.0,4.46,0.0,4.7212444,4.0,3.0,2010.0,0.45605594,0.0,0.0,1.0,33.0,24.0,1.9057,4.2910395,0
1586.0,3.0,2016.0,66.0,31.80634,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,288.45606,45.802124,336.0,0.8,-0.04,0.04,0.75,-0.04,0.03,175.0,4990.0,4.59,0.0,9.3982999,5.0,4.0,1500.0,0.42949931,0.0,0.0,1.0,30.0,75.0,1.06495,1.2177294,0
1595.0,3.0,2016.0,66.0,104.3519,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,287.24117,39.332757,296.0,0.96,-0.02,0.02,0.87,-0.02,0.02,175.0,5622.0,4.54,0.0,3.7013209,5.0,3.0,627.0,0.37963875,0.0,0.0,1.0,51.0,49.0,1.33399,2.3419147,0
1602.0,3.0,2016.0,66.0,10.458434,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,284.99962,49.479977,384.0,0.76,-0.04,0.03,0.72,-0.04,0.02,175.0,4730.0,4.62,0.0,31.882164,5.0,4.0,2022.0,0.41096977,0.0,0.0,1.0,33.0,24.0,1.33399,2.3419147,0
1604.0,3.0,2016.0,66.0,25.203479,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,282.14057,43.89658,1108.0,0.86,-0.07,0.05,0.83,-0.07,0.08,175.0,5438.0,4.55,0.0,21.097754,4.0,3.0,1225.0,0.43662531,0.0,0.0,1.0,51.0,49.0,2.36531,6.1925912,0
1608.0,3.0,2016.0,66.0,66.184903,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,292.36956,43.910809,946.0,0.98,-0.06,0.06,0.97,-0.09,0.15,175.0,5756.0,4.46,0.0,9.1509631,4.0,3.0,1227.0,0.4473156,0.0,0.0,1.0,30.0,75.0,2.23079,5.6065874,0
